index,dong,name_subway,Latitude,Longitude,MF,EF,TF,SF,y
79,동대문구,S_용두역,37.5690448,127.044881,0.731089898,-1.13829,1.4765,1.1202096526099135,0.129561639
80,동대문구,S_장한평역,37.5690448,127.044881,0.731089898,-1.13829,0.410526,1.1202096526099135,-0.089556945
81,동대문구,S_제기동역,37.5803953,127.0379534,3.119505313,0.990517,0.850748,0.7129882806177031,1.687179574
82,동대문구,S_청량리(서울시립대입구)역,37.5803953,127.0379534,0.726821254,-1.15346,1.05971,0.7129882806177031,0.175939454
83,동작구,S_남성역,37.4874957,126.9718515,0.327337781,-1.21701,-2.31602,0.4682802597797556,-0.760473415
84,동작구,S_동작역,37.5034647,126.9799265,0.327337781,-1.21701,0.308791,0.6198125346052303,-0.248202058
85,동작구,S_보라매역,37.4997186,126.9414329,0.327337781,-1.21701,1.68822,0.470263035098147,0.113182278
86,동작구,S_사당(4)역,37.4859712,126.9815356,0.327337781,-1.21701,-2.32135,0.47893289842994735,-0.76677699
87,동작구,S_상도역,37.4997186,126.9414329,0.327337781,-1.21701,0.151415,0.470263035098147,-0.202718987
88,동작구,S_숭실대입구역,37.4997186,126.9414329,0.327337781,-1.21701,0.151415,0.470263035098147,-0.202718987
89,동작구,S_신대방삼거리역,37.4997186,126.9414329,0.327337781,-1.21701,1.68822,0.470263035098147,0.113182278
90,동작구,S_신대방역,37.4875104,126.9129914,0.327337781,-1.21701,0.961338,0.4802168082694864,-0.093674664
91,동작구,S_이수(7)역,37.4874957,126.9718515,0.327337781,-1.21701,-2.31602,0.4682802597797556,-0.760473415
92,동작구,S_장승배기역,37.4997186,126.9414329,0.327337781,-1.21701,0.151415,0.470263035098147,-0.202718987
93,마포구,S_공덕(6)역,37.5495268,126.9414508,0.42498005,-0.464622,1.7017,0.6232832680942164,0.351914169
94,마포구,S_공릉역,37.6562713,127.0624069,-1.263705574,-1.25423,0.0795981,-1.6940887360485133,-0.746708325
95,마포구,S_광흥창역,37.5467114,126.9328565,0.42498005,-0.464622,1.11206,0.7364307528811562,0.221751097
96,마포구,S_대흥역,37.5505968,126.9429055,0.42498005,-0.464622,1.58817,0.5975875116193073,0.346037011
97,마포구,S_마포구청역,37.5593963,126.9058128,0.42498005,-0.464622,-0.661313,0.5916210047674951,-0.203709989
98,마포구,S_마포역,37.5458958,126.9515058,0.42498005,-0.464622,1.69901,0.6480959738880875,0.411807566
