번호,상호명,주소,Latitude,Longitude
89,신한인비스타 보세창고,서울특별시 강서구 하늘길 210 (공항동),37.555525,126.8067017
90,(주)지엠푸드시스템,"서울특별시 동대문구 약령시로9길 39(제기동,,133-24 지층[약령시로9길39])",37.5846596,127.0351661
91,한솔로지스틱스(주) 성북센터,서울특별시 노원구 화랑로45길 71 (월계동),37.6208026,127.0659356
92,(주)판토스 (구로물류),서울특별시 구로구 경인로 110 (오류동),37.491255,126.8312569
93,주식회사 한진,"서울특별시 송파구 송파대로 55, B동 2층 (장지동,서울복합물류)",37.4746178,127.1260071
94,(주)지에스네트웍스 송파지점,"서울특별시 송파구 송파대로 55, 서울복합물류 C동 5층 (장지동)",37.4746178,127.1260071
95,(주)한진,"서울특별시 송파구 송파대로 55, 지하1층 (장지동, 서울복합물류 B동(장지동))",37.4746178,127.1260071
96,케이씨냉장(주),서울특별시 송파구 송파대로 55(서울복합물류 F동 지하1층 장지동),37.4746178,127.1260071
97,씨제이대한통운(주),서울특별시 송파구 송파대로 55(서울복합물류 B동 지하1층 장지동),37.4746178,127.1260071
98,씨제이대한통운(주),서울특별시 송파구 송파대로 55(C동 지하1층 01~03호 장지동),37.513265,127.101133
99,케이씨냉장(주),"서울특별시 송파구 송파대로 55, 지상2층 (장지동, 서울복합물류, F동)",37.4746178,127.1260071
100,(주)엘엑스판토스,"서울특별시 송파구 송파대로 55, C동 5층 (장지동,서울복합물류)",37.4746178,127.1260071
101,롯데글로벌로지스(주) 서울남부지점,"서울특별시 송파구 송파대로 55, c동 205호 (장지동,서울복합물류)",37.4746178,127.1260071
102,케이씨냉장(주),서울특별시 송파구 송파대로 55 (장지동),37.483697,127.1357954
103,신흥식산(주)보세창고,서울특별시 송파구 송파대로 55 (장지동),37.483697,127.1357954
104,씨제이대한통운(주) 가양센터,서울특별시 강서구 양천로 373 (가양동),37.562902,126.8378873
105,안국물류센터,서울특별시 강서구 양천로47길 54 (마곡동),37.5735461,126.8378001
106,(주)케이더블유이코리아,서울특별시 강서구 방화대로 303 (방화동),37.5677915,126.8159986
107,롯데글로벌로지스(주) 영등포제과센터,서울특별시 영등포구 양평로21길 25 (양평동4가),37.5355686,126.893059
108,롯데쇼핑(주)프레시센터 장안점,서울특별시 동대문구 사가정로 217 (장안동),37.5791376,127.069221
109,조선냉장,서울특별시 금천구 시흥대로 169 (시흥동),37.4490955,126.9022039
