index,호선,역사명,구,도로명주소,Latitude,Longitude,월임대료 평균,면적 평균,면적 당 임대료,엘리베이터유무,pc1,pc2,pc3
74,3,금호역,성동구,서울특별시 성동구 동호로 지하104(금호동4가),37.5466746,127.0162448,1320112.4,28.642,46090.09147,0,1.55961,-1.23871,0.53138
75,3,옥수역,성동구,서울특별시 성동구 동호로 21(옥수동),37.5398948,127.0172208,5971684,156.785,38088.36304,0,1.55961,-1.23871,0.53138
76,3,압구정역,강남구,서울특별시 강남구 압구정로 지하172(신사동),37.5270213,127.0357939,4375063.8,23.536,185888.1628,0,-3.29149,5.53299,-1.46002
77,3,신사역,강남구,서울특별시 강남구 도산대로 지하102(신사동),37.5211419,127.0346289,4421175.786,24.57733333,179888.3437,0,-3.29149,5.53299,-1.46002
78,3,잠원역,서초구,서울특별시 서초구 잠원로4길 지하46(잠원동),37.5125456,127.0110072,0,0,0,0,-0.746933,3.02472,0.773993
79,3,고속터미널(3)역,서초구,서울특별시 서초구 신반포로 지하188(반포동),37.5060582,127.0033885,66905331.67,1287.698333,51957.30239,0,-0.746933,3.02472,0.773993
80,3,교대(3)역,서초구,서울특별시 서초구 서초대로 지하294(서초동),37.4900549,127.0007641,1503077.778,72.82454545,20639.71383,0,-0.746933,3.02472,0.773993
81,3,남부터미널역,서초구,서울특별시 서초구 서초중앙로 지하31(서초동),37.4933118,127.0145415,0,0,0,0,-0.746933,3.02472,0.773993
82,3,양재역,서초구,서울특별시 서초구 남부순환로 지하2585(서초동),37.4810366,127.0181186,4960125.143,33.4975,148074.4874,0,-0.746933,3.02472,0.773993
83,3,매봉역,강남구,서울특별시 강남구 남부순환로 지하2744(도곡동),37.490713,127.0586709,1881050,16.795,112000.5954,0,-3.29149,5.53299,-1.46002
84,3,도곡역,강남구,서울특별시 강남구 남부순환로 지하2814(도곡동),37.490713,127.0586709,1450325,24.58,59004.27177,0,-3.29149,5.53299,-1.46002
85,3,대치역,강남구,서울특별시 강남구 남부순환로 지하2952(대치동),37.490713,127.0586709,0,0,0,0,-3.29149,5.53299,-1.46002
86,3,학여울역,강남구,서울특별시 강남구 남부순환로 지하3104(대치동),37.490713,127.0586709,0,0,0,0,-3.29149,5.53299,-1.46002
87,3,대청역,강남구,서울특별시 강남구 일원로 지하2(일원동),37.4890175,127.0824833,1894800,24.805,76387.82504,0,-3.29149,5.53299,-1.46002
88,3,일원역,강남구,서울특별시 강남구 일원로 지하121(일원동),37.4890175,127.0824833,4398375,203.636,21599.20152,0,-3.29149,5.53299,-1.46002
89,3,수서역,강남구,서울특별시 강남구 광평로 지하270(수서동),37.485319,127.0939179,4926672.667,24.99111111,197136.9998,0,-3.29149,5.53299,-1.46002
90,3,가락시장(3)역,송파구,서울특별시 송파구 송파대로 지하257(가락동),37.4856859,127.1193237,1200000,21,57142.85714,0,-5.82448,1.94447,-1.11111
91,3,경찰병원역,송파구,서울특별시 송파구 중대로 지하149(가락동),37.4993959,127.1254327,3510000,47.2,74364.40678,0,-5.82448,1.94447,-1.11111
92,3,오금역,송파구,서울특별시 송파구 오금로 지하321(오금동),37.5062405,127.1232563,0,0,0,0,-5.82448,1.94447,-1.11111
93,4,당고개역,노원구,서울특별시 노원구 상계로 305(상계동),37.6705563,127.0793058,2907000,78.13833333,37203.25065,0,-3.54654,0.0328271,0.928053
94,4,상계역,노원구,서울특별시 노원구 상계로 182(상계동),37.6610953,127.0735256,3175040,39.612,80153.48884,0,-3.54654,0.0328271,0.928053
95,4,노원(4)역,노원구,서울특별시 노원구 상계로 69-1(상계동),37.6558674,127.0619911,1175000,22.405,52443.65097,0,-3.54654,0.0328271,0.928053
