index,dong,name_subway,Latitude,Longitude
137,송파구,S_가락시장(3)역,37.4856859,127.1193237
138,송파구,S_개롱역,37.5062405,127.1232563
139,송파구,S_거여역,37.5062405,127.1232563
140,송파구,S_경찰병원역,37.4993959,127.1254327
141,송파구,S_마천역,37.4951533,127.1530068
142,송파구,S_몽촌토성역,37.5213517,127.1026097
143,송파구,S_문정역,37.4856859,127.1193237
144,송파구,S_방이역,37.50885,127.1247641
145,송파구,S_복정역,37.4856859,127.1193237
146,송파구,S_삼전,37.5079559,127.0981246
147,송파구,S_석촌고분,37.5079559,127.0981246
148,송파구,S_석촌역,37.4856859,127.1193237
149,송파구,S_송파나루,37.5079559,127.0981246
150,송파구,S_송파역,37.4856859,127.1193237
151,송파구,S_오금역,37.5062405,127.1232563
152,송파구,S_올림픽공원역,37.50885,127.1247641
153,송파구,S_잠실(8)역,37.5149545,127.1042019
154,송파구,S_잠실나루역,37.5186216,127.1049002
155,송파구,S_잠실새내역,37.5213517,127.1026097
156,송파구,S_장지역,37.4856859,127.1193237
157,송파구,S_종합운동장역,37.5213517,127.1026097
158,송파구,S_한성백제,37.5132079,127.1229459
159,양천구,S_목동역,37.5245067,126.862375
160,양천구,S_신정네거리역,37.520694,126.8523726
161,양천구,S_신정역,37.5245067,126.862375
162,양천구,S_양천구청역,37.5109528,126.8630883
163,양천구,S_오목교역,37.5245067,126.862375
164,영등포구,S_당산역,37.5349309,126.9027301
165,영등포구,S_대림(7)역,37.5050273,126.8975225
166,영등포구,S_문래역,37.5267009,126.8986365
167,영등포구,S_신길역,37.5176364,126.9140856
168,영등포구,S_신풍역,37.5001939,126.9128486
169,영등포구,S_양평역,37.5242305,126.8953477
170,영등포구,S_여의나루역,37.5213559,126.9249795
171,영등포구,S_여의도역,37.5213559,126.9249795
172,영등포구,S_영등포구청(2)역,37.5267009,126.8986365
173,용산구,S_녹사평역,37.5345491,126.9899665
174,용산구,S_삼각지역,37.5516714,126.972922
175,용산구,S_서울역,37.5516714,126.972922
176,용산구,S_숙대입구역,37.5516714,126.972922
177,용산구,S_신용산역,37.5516714,126.972922
178,용산구,S_이촌역,37.5231023,126.9844401
179,용산구,S_이태원역,37.5340548,126.9950167
180,용산구,S_한강진역,37.5340548,126.9950167
181,용산구,S_효창공원앞역,37.5383394,126.9654883
182,은평구,S_구산역,37.6190884,126.9235023
183,은평구,S_구파발역,37.6354486,126.9231387
184,은평구,S_녹번역,37.6123992,126.9292744
185,은평구,S_독바위역,37.6149092,126.9304818
186,은평구,S_디지털미디어시티역,37.5836106,126.8932739
187,은평구,S_불광(3)역,37.6123992,126.9292744
188,은평구,S_새절역,37.5869005,126.9097744
189,은평구,S_역촌역,37.6114461,126.9153066
190,은평구,S_연신내(3)역,37.6123992,126.9292744
191,은평구,S_응암역,37.5869005,126.9097744
192,은평구,S_증산역,37.5869005,126.9097744
193,종로구,S_경복궁역,37.5748378,126.9680507
194,종로구,S_광화문역,37.5722304,126.9771833
195,종로구,S_동대문(4)역,37.574971,126.9981589
196,종로구,S_동묘앞(1)역,37.5732808,127.0166486
197,종로구,S_동묘앞(6)역,37.5762104,127.0152403
198,종로구,S_서대문역,37.5705366,126.9628499
199,종로구,S_안국역,37.574971,126.9981589
200,종로구,S_종각역,37.5719416,127.0043274
201,종로구,S_종로3가(3)역,37.572069,126.9915237
202,종로구,S_종로3가(5)역,37.5725356,126.9899825
203,종로구,S_종로5가역,37.5719416,127.0043274
204,종로구,S_창신역,37.5762104,127.0152403
205,종로구,S_혜화역,37.5769696,127.0020331
206,중구,S_동대문역사문화공원(4)역,37.5599921,127.0053457
207,중구,S_명동역,37.5609724,126.9945971
208,중구,S_버티고개역,37.5584387,127.0119475
209,중구,S_서울(1)역,37.5624945,126.9752957
210,중구,S_시청역,37.5612786,126.9693213
211,중구,S_신당(2)역,37.5609724,126.9945971
212,중구,S_약수(3)역,37.5584387,127.0119475
213,중구,S_을지로3가(2)역,37.5665899,126.9982939
214,중구,S_을지로4가(2)역,37.5665899,126.9982939
215,중구,S_을지로4가(5)역,37.5660599,126.9979537
216,중구,S_을지로입구역,37.5665899,126.9982939
217,중구,S_청구(5)역,37.5608109,127.0137038
218,중구,S_충무로역,37.5609724,126.9945971
219,중구,S_회현역,37.5609724,126.9945971
220,중랑구,S_먹골역,37.6042971,127.0780346
221,중랑구,S_면목역,37.5841989,127.0866148
222,중랑구,S_봉화산역,37.6083906,127.0954925
223,중랑구,S_사가정역,37.5808016,127.0875826
224,중랑구,S_상봉역,37.5967056,127.0860055
225,중랑구,S_신내역,37.6115753,127.1077606
226,중랑구,S_용마산역,37.5917707,127.0945783
227,중랑구,S_중화역,37.6042971,127.0780346
