역사명,Latitude,Longitude,면적 평균,면적 당 임대료,pc1,pc2,pc3
발산역,37.5533338,126.8510294,28.72666667,184226.0733,-4.16236,1.24139,0.620214
우장산역,37.5535944,126.8412653,26.01333333,96225.93542,-4.16236,1.24139,0.620214
화곡역,37.5488694,126.8451583,49.69,195827.3798,-4.16236,1.24139,0.620214
까치산(5)역,37.5535944,126.8412653,27.21111111,363670.2011,-4.16236,1.24139,0.620214
신정역,37.5245067,126.862375,33.355,136371.4286,-2.10509,-1.40919,-0.464912
목동역,37.5245067,126.862375,26.14833333,177107.8922,-2.10509,-1.40919,-0.464912
오목교역,37.5245067,126.862375,46.91413043,2009029.447,-2.10509,-1.40919,-0.464912
양평역,37.5242305,126.8953477,0,0,0.90948,1.15866,3.80037
영등포구청(5)역,37.5242305,126.8953477,124.1766667,47241.10003,0.90948,1.15866,3.80037
영등포시장역,37.5242305,126.8953477,37.3,170555.0938,0.90948,1.15866,3.80037
신길역,37.5176364,126.9140856,23.33333333,335197.3857,0.90948,1.15866,3.80037
여의도역,37.5213559,126.9249795,28.585,175167.2322,0.90948,1.15866,3.80037
여의나루역,37.5213559,126.9249795,34.125,196821.978,0.90948,1.15866,3.80037
마포역,37.5458958,126.9515058,33.412,105768.7597,0.201913,0.109845,-1.32146
공덕(5)역,37.5458958,126.9515058,47.30391304,72039.68361,0.201913,0.109845,-1.32146
애오개역,37.5458958,126.9515058,32.2,142158.3851,0.201913,0.109845,-1.32146
충정로(5)역,37.5627988,126.9647478,33.645,54424.08233,0.831232,-1.33294,-0.185672
서대문역,37.5705366,126.9628499,17.304,168622.0874,5.43797,2.23685,-1.13737
광화문역,37.5722304,126.9771833,305,38364.79016,5.43797,2.23685,-1.13737
종로3가(5)역,37.5725356,126.9899825,39.38666667,126121.9956,5.43797,2.23685,-1.13737
을지로4가(5)역,37.5660599,126.9979537,30.68333333,47856.02389,7.57404,3.98087,0.601224
동대문역사문화공원역,37.5648118,126.9991962,0,0,7.57404,3.98087,0.601224
청구(5)역,37.5608109,127.0137038,35.555,107607.0595,7.57404,3.98087,0.601224
신금호역,37.5512857,127.023034,31.32,108962.0211,1.55961,-1.23871,0.53138
행당역,37.5561971,127.0261975,39.52,92068.49696,1.55961,-1.23871,0.53138
왕십리(5)역,37.5549336,127.0367427,61.85923077,53547.42871,1.55961,-1.23871,0.53138
마장역,37.5663079,127.0369547,30,145375.5333,1.55961,-1.23871,0.53138
답십리역,37.5636987,127.0582683,42.86,71592.68938,1.55961,-1.23871,0.53138
장한평역,37.5690448,127.044881,34.43333333,130299.7057,0.217542,-1.88592,0.0418715
군자(5)역,37.5538892,127.0857152,61.09,87166.47569,0.295592,-1.62693,-1.79417
아차산역,37.5538892,127.0857152,31.95333333,106322.3503,0.295592,-1.62693,-1.79417
광나루역,37.5417175,127.0873849,44.58,100451.4412,0.295592,-1.62693,-1.79417
천호(5)역,37.538274,127.14567,70.29518519,3098268.785,-0.970207,-0.899822,-0.603726
강동역,37.538274,127.14567,50.858,127818.1643,-0.970207,-0.899822,-0.603726
길동역,37.5374092,127.1411034,31.82,160792.6147,-0.970207,-0.899822,-0.603726
굽은다리역,37.5374092,127.1411034,27.272,109507.7185,-0.970207,-0.899822,-0.603726
명일역,37.5374092,127.1411034,32.2725,77994.27531,-0.970207,-0.899822,-0.603726
고덕역,37.5555874,127.1475975,34.74,113882.844,-0.970207,-0.899822,-0.603726
상일동역,37.5555874,127.1475975,22.41,119880.6634,-0.970207,-0.899822,-0.603726
둔촌동역,37.5374092,127.1411034,30.382,113649.4635,-0.970207,-0.899822,-0.603726
올림픽공원역,37.50885,127.1247641,37.2,156794.7312,-5.82448,1.94447,-1.11111
방이역,37.50885,127.1247641,27.89,209134.6002,-5.82448,1.94447,-1.11111
오금(5)역,37.5062405,127.1232563,27.38,123201.0592,-5.82448,1.94447,-1.11111
개롱역,37.5062405,127.1232563,40,157906,-5.82448,1.94447,-1.11111
거여역,37.5062405,127.1232563,28.98,157341.5459,-5.82448,1.94447,-1.11111
마천역,37.4951533,127.1530068,30,141161.7667,-5.82448,1.94447,-1.11111
응암역,37.5869005,126.9097744,33.24,230311.4621,-1.76666,-0.432013,0.405047
역촌역,37.6114461,126.9153066,44.375,87654.46761,-1.76666,-0.432013,0.405047
불광(6)역,37.6123992,126.9292744,37.25,25042.21477,-1.76666,-0.432013,0.405047
독바위역,37.6149092,126.9304818,58.15,49184.96991,-1.76666,-0.432013,0.405047
연신내(6)역,37.6123992,126.9292744,24.1925,199998.3156,-1.76666,-0.432013,0.405047
구산역,37.6190884,126.9235023,32.06666667,120942.4012,-1.76666,-0.432013,0.405047
새절역,37.5869005,126.9097744,32.748,142000.6657,-1.76666,-0.432013,0.405047
증산역,37.5869005,126.9097744,34.6,122743.9884,-1.76666,-0.432013,0.405047
디지털미디어시티역,37.5836106,126.8932739,74.09888889,72488.87373,-1.76666,-0.432013,0.405047
월드컵경기장역,37.5593963,126.9058128,43,99196.7907,0.201913,0.109845,-1.32146
마포구청역,37.5593963,126.9058128,44.94,88520.20472,0.201913,0.109845,-1.32146
망원역,37.5593963,126.9058128,38.234,104458.2518,0.201913,0.109845,-1.32146
합정(6)역,37.552785,126.9186125,41.183125,184771.099,0.201913,0.109845,-1.32146
상수역,37.5467114,126.9328565,35.28571429,295180.7611,0.201913,0.109845,-1.32146
